order_date,sub_order_num,order_status,state,pin,gst_amount,meesho_price,shipping_charges_total,price
2022-08-13,641300392975_1,Return,odisha,752022,64.30000000000000,1350,114,1464
2022-08-09,546528163157_1,Return,Telangana,500020,64.30000000000000,1350,114,1448
2022-08-08,363376800481_1,rto,West Bengal,711227,61.90000000000000,1300,114,1414
2022-08-22,848334441754_1,Delivered,Punjab,143101,99.86000000000000,2097,0,2101
2022-08-15,354258590368_1,Delivered,Assam,782447,64.30000000000000,1350,125,1475
2022-07-29,967475471717_1,Delivered,Telangana,504293,94.12000000000000,617,0,605
2022-08-02,261363877240_1,rto,Uttar Pradesh,247001,71.44000000000000,1500,110,1610
2022-08-21,236795271202_1,Return,Others,600120,64.30000000000000,1350,114,1464
2022-08-29,755828660648_1,Shipped,Kerala,671121,24.72000000000000,519,0,519
2022-08-07,507304078237_1,Return,Madhya Pradesh,472118,62.44000000000000,1311,114,1409
2022-08-25,963799194113_1,Shipped,Uttar Pradesh,285123,24.20000000000000,508,0,502
2022-08-13,248244279818_1,Return,Gujarat,395003,66.68000000000000,1400,101,1501
2022-08-10,851847662041_1,Return,Maharashtra,400065,64.30000000000000,1350,105,1439
2022-08-22,458878633167_1,Delivered,Punjab,160055,100.30000000000000,2106,0,2079
2022-08-25,269083456798_1,Shipped,Goa,403516,24.20000000000000,508,0,508
2022-08-22,437167650973_1,Delivered,Odisha,765021,71.90000000000000,1510,0,1510
2022-08-24,736602256273_1,Delivered,Gujarat,382415,71.44000000000000,1500,148,1648
2022-08-22,384931415630_1,Delivered,West Bengal,741139,87.96000000000000,1847,0,1847
2022-08-26,621670207763_1,Cancelled,West Bengal,735217,24.20000000000000,508,0,508
2022-08-10,239488734703_1,Delivered,Karnataka,577226,64.30000000000000,1350,114,1464
2022-08-15,704165208295_1,Return,Kerala,682034,64.30000000000000,1350,117,1451
2022-08-23,426207937376_1,Return,Odisha,758032,66.68000000000000,1400,81,1481
2022-08-25,717389427083_1,Shipped,Kerala,685602,24.20000000000000,508,0,508
2022-08-27,707632123402_1,Shipped,Karnataka,560076,26.14000000000000,549,0,535
2022-07-30,220688769897_1,rto,Assam,788734,76.20000000000000,1600,122,1722
2022-08-21,145765249861_1,Delivered,Maharashtra,410220,71.30000000000000,1497,0,1497
2022-08-04,832025757463_1,Delivered,Tamil Nadu,600077,64.30000000000000,1350,114,1448
2022-08-18,133620476043_1,Return,Uttar Pradesh,282001,64.30000000000000,1350,114,1464
2022-08-16,823942308881_1,Delivered,Odisha,760006,64.30000000000000,1350,114,1464
2022-08-28,349165630963_1,Shipped,Uttarakhand,249137,24.20000000000000,508,0,508
2022-08-09,264002870509_1,Delivered,Gujarat,395010,34.68000000000000,728,0,703
2022-08-28,654530604117_1,Delivered,Odisha,766100,61.90000000000000,1300,114,1398
2022-08-20,150003921805_1,Return,Up,231305,80.82000000000000,1697,0,1697
2022-08-25,188317821806_1,Exchange,Telangana,502220,65.14000000000000,1368,110,1478
2022-08-06,673557263786_1,Return,Madhya Pradesh,480884,95.24000000000000,2000,110,2110
2022-08-13,231138984607_1,Delivered,Tamil Nadu,628704,64.30000000000000,1350,114,1448
2022-08-05,641914233092_1,Delivered,Uttar Pradesh,231224,73.68000000000000,1547,0,1547
2022-08-30,922552445432_1,Shipped,Uttarakhand,263153,65.14000000000000,1368,110,1478
2022-08-01,406826346276_1,Delivered,Rajasthan,324008,97.62000000000000,2050,0,2050
2022-08-09,849870909835_1,Return,Uttarakhand,247671,64.30000000000000,1350,114,1464
2022-08-04,507255016644_1,Delivered,Telangana,500048,61.90000000000000,1300,108,1408
2022-08-18,537121032423_1,Return,Assam,781315,74.34000000000000,1561,125,1686
2022-08-27,874997211089_1,Shipped,Others,742225,66.68000000000000,1400,81,1465
2022-08-11,574899849229_1,Cancelled,Tamil Nadu,600053,64.30000000000000,1350,114,1464
2022-08-26,583140288760_1,Delivered,West Bengal,712235,66.68000000000000,1400,81,1481
2022-08-30,710010425387_1,Shipped,Maharashtra,400095,66.68000000000000,1400,110,1510
2022-08-09,803134095214_1,Return,Tamil Nadu,612002,78.86000000000000,1656,0,1656
2022-08-25,139089555643_1,Delivered,Karnataka,560100,24.20000000000000,508,0,508
2022-08-15,974991026344_1,Return,Delhi,110081,66.68000000000000,1400,110,1510
2022-08-20,704814497883_1,Delivered,Bihar,813210,66.68000000000000,1400,81,1481
2022-08-22,296540364861_1,rto,seoni,480661,62.44000000000000,1311,114,1425
2022-08-30,571369750119_1,Shipped,Punjab,142044,66.68000000000000,1400,110,1510
2022-08-25,542703544972_1,Delivered,Himachal Pradesh,171207,23.76000000000000,499,0,499
2022-08-30,355746559602_1,Shipped,Andhra Pradesh,524408,71.44000000000000,1500,110,1610
2022-08-07,768837658082_1,Delivered,Madhya Pradesh,453771,65.14000000000000,1368,81,1449
2022-08-27,265339595628_1,Delivered,Gujarat,395010,26.14000000000000,549,0,526
2022-08-04,354486173123_1,Delivered,Himachal Pradesh,177048,64.30000000000000,1350,114,1448
2022-08-28,397474434265_1,Delivered,Rajasthan,314001,23.76000000000000,499,0,480
2022-07-31,382786145334_1,rto,Uttar Pradesh,226010,74.34000000000000,1561,108,1669
2022-08-22,261601009640_1,Return,Odisha,764001,66.68000000000000,1400,81,1481
2022-08-29,703072596386_1,Shipped,Uttar Pradesh,211008,59.90000000000000,1258,0,1286
2022-08-21,402972493507_1,Delivered,Telangana,505530,64.30000000000000,1350,114,1464
2022-08-02,125088357756_1,Cancelled,Madhya Pradesh,452002,64.30000000000000,1350,108,1458
2022-07-31,203099192349_1,Delivered,Andhra Pradesh,520001,74.34000000000000,1561,108,1651
2022-08-26,928726855752_1,Shipped,Madhya Pradesh,485771,99.86000000000000,2097,0,2097
2022-08-24,295645979015_1,Shipped,Tamil Nadu,606205,66.68000000000000,1400,83,1483
2022-08-05,978604039408_1,Delivered,Haryana,125004,87.96000000000000,1847,0,1847
2022-08-22,189410351427_1,Delivered,Maharashtra,411058,27.68000000000000,581,0,572
2022-08-12,301578067962_1,Return,Kerala,695581,64.30000000000000,1350,120,1454
2022-08-30,658416003246_1,Shipped,Chhattisgarh,491771,24.20000000000000,508,0,508
2022-08-11,114775122169_1,rto,Andhra Pradesh,530024,65.14000000000000,1368,81,1449
2022-08-14,473722759765_1,Delivered,Tamil Nadu,600060,64.30000000000000,1350,114,1448
2022-08-13,803963214519_1,rto,Delhi,110007,66.68000000000000,1400,110,1510
2022-08-02,184970118893_1,Delivered,Karnataka,560001,74.34000000000000,1561,108,1651
2022-08-24,736602256273_2,Delivered,Gujarat,382415,71.44000000000000,1500,148,1648
2022-08-27,237419587792_1,Delivered,Gujarat,395010,26.14000000000000,549,0,526
2022-08-21,555207008312_1,Delivered,Gujarat,394160,66.68000000000000,1400,81,1481
2022-08-16,702473758487_1,Return,Rajasthan,341505,99.86000000000000,2097,0,2097
2022-08-25,105706412059_1,Return,Maharashtra,411009,66.68000000000000,1400,72,1472
2022-08-03,183404359462_1,rto,Bihar,805130,65.14000000000000,1368,79,1447
2022-08-27,294779117929_1,Shipped,Kerala,691004,24.72000000000000,519,0,519
2022-08-26,431854237562_1,Return,Punjab,146001,27.68000000000000,581,0,581
2022-08-26,118121582107_1,Shipped,Mumbai,400095,24.20000000000000,508,0,499
2022-08-25,296605193297_1,rto,Telangana,506001,23.48000000000000,493,0,493
2022-08-07,1688345391_1,Return,Arunachal Pradesh,792001,64.30000000000000,1350,114,1464
2022-08-21,704133639877_1,rto,Kerala,673527,66.68000000000000,1400,116,1516
2022-08-12,444981584080_1,Return,Tamil Nadu,603204,64.30000000000000,1350,114,1464
2022-08-06,765111140935_1,Delivered,West Bengal,711227,61.90000000000000,1300,114,1414
2022-08-22,923462757835_1,Return,punjab,143101,99.86000000000000,2097,0,2097
2022-07-29,447323391939_1,rto,Madhya Pradesh,465674,71.44000000000000,1500,140,1640
2022-08-30,271046524562_1,Shipped,Delhi,110009,66.68000000000000,1400,110,1510
2022-08-15,346130315989_1,Return,Andhra Pradesh,532005,64.30000000000000,1350,114,1464
2022-08-11,312073496064_1,rto,Telangana,500052,66.68000000000000,1400,110,1525
2022-08-02,916538974169_1,rto,Assam,782435,88.62000000000000,1861,0,1861
2022-08-07,436163379734_1,Delivered,MAHARASHTRA,421204,51.14000000000000,1074,0,1052
